event_id,bin_id,mc_energy_GeV,n_doms_ic,has_dm_hit,lf_ang_err,piv_lf_ang_err,mpe_std_ang_err,mpe_piv_ang_err,mpe_piv2_ang_err,spe_std_ang_err,spe_piv_ang_err,ll_mc,ll_lf,ll_plf,ll_mpe_std,ll_mpe_piv,ll_mpe_piv2,ll_spe_std,ll_spe_piv,dp_lf_m,dp_mpe_m
0,0,291.322232294926,17,1,25.838128206771948,0.8964731951287507,19.83145058496955,1.786632349734578,1.786632349734578,19.234871165475557,2.3309717650136292,,,-6.019094101801787,,-14.959259015910176,-14.959259015910176,,-13.00213434040874,348.8093050349347,255.47068686935998
1,0,262.0721173153642,0,1,,,,,,,,,,,,,,,,,
2,0,286.2093525274608,32,1,3.4715193300192526,0.26110877150658135,0.4182538972975986,0.41579065359786105,0.41579065359786105,1.050986337500376,1.0314927868884658,,,-6.019094101801787,-35.014464722993985,-35.03710025766619,-35.03710025766619,-30.456435288653964,-30.510274357704404,52.44482155086119,4.2955871569196145
3,0,186.3080253054304,0,1,,,,,,,,,,,,,,,,,
4,0,243.39915829324622,36,1,4.390130852577491,0.19868021186762355,0.6043302743159792,0.6102983140655092,0.6102983140655092,0.16617949877914678,0.17544949514732067,,,-6.019094101801787,-8.61305903724934,-8.587451751309192,-8.587451751309192,-11.214424333451312,-11.151606272253163,64.36463954581066,7.825362699051802
5,0,136.88102008882535,0,1,,,,,,,,,,,,,,,,,
6,0,313.7463652331038,29,1,1.0940339777350006,0.886209697874123,0.37294822264687494,0.37898156705791375,0.37898156705791375,0.18501316095623105,0.18503347676559975,,-6.449839381083063,-6.019094101801787,-25.773895517199712,-25.889305806398497,-25.889305806398497,-29.87730940831206,-29.881617009379518,9.163037930879865,4.753821296698579
7,0,163.19828135558683,14,1,9.81980244135293,2.123974433633041,10.249688654693879,2.9372542638234904,2.9372542638234904,7.493342940848236,9.027470266898568,,,-6.019094101801787,,-7.981250173910583,-7.981250173910583,,-45.37224043502677,125.0642574839028,111.12827333907023
8,0,293.10963742361594,0,1,,,,,,,,,,,,,,,,,
9,0,106.23858055077834,0,1,,,,,,,,,,,,,,,,,
10,0,279.80617429395494,112,1,2.5402672399534327,1.8269327549934702,0.9137851275269886,0.9105183459658694,0.9105183459658694,0.5808416872798213,0.5958020580419877,,,-6.019094101801787,,-26.247913335473612,-26.247913335473612,-35.003355216786886,-35.04758586048238,29.188292790833632,18.202879819277555
11,0,166.83064298458194,0,1,,,,,,,,,,,,,,,,,
12,0,119.66107585510329,0,1,,,,,,,,,,,,,,,,,
13,0,252.28323821962616,8,1,53.27133250554203,6.011195958310103,79.23152859088334,20.30952300832293,80.99765375918867,76.8424763746186,23.03273897875617,,,-6.019094101801787,,-147.2724746237789,-106.72669108867316,,-184.10428306928063,606.5856194328303,710.4056539358671
14,0,263.12315091135935,2,1,60.421981795250986,,,,,,,,,,,,,,,712.7633076039806,
15,0,303.9895220146454,0,1,,,,,,,,,,,,,,,,,
16,0,256.74222605437325,0,1,,,,,,,,,,,,,,,,,
17,0,101.02232555724777,8,1,27.629214724212424,1.7027507981190222,26.34685345861814,26.446952643090018,26.446952643090018,25.822021968330333,25.744509607935687,,,-6.019094101801787,,-825.7913294144544,-825.7913294144544,,-788.4402241726043,485.49794868483247,462.8886359015594
18,0,264.91053344464086,34,1,1.0733659363969614,0.7133998180798569,1.5718574598482713,1.5663438953354771,1.5663438953354771,5.100616140711297,2.1961855319273575,,,-6.019094101801787,,-23.224066168581572,-23.224066168581572,,-18.526158204867336,21.818785930078093,18.429060831071
19,0,219.40408919130556,0,1,,,,,,,,,,,,,,,,,
20,0,251.79191280159213,1,1,,,,,,,,,,,,,,,,,
