mc_zenith_deg,mc_azimuth_deg,mc_energy_GeV,mc_ca_det1_m,mc_ca_det2_m,mc_ca_min_m,closest_det,ic_speed_m_ns,ic_ang_err_deg,cfit_ang_err_deg,cfit_iter_ang_err_deg,cfit_ang_diff_deg,cfit_speed_m_ns,n_doms,ca_bin
135.6560832035447,71.052490461371,5695.262671673522,38.33387992096229,428.2430950238033,38.33387992096229,det1,0.12776910194338462,6.195518592798545,6.791803797034772,7.26095013503706,6.403171849334466,0.17798060653730538,234,"(0, 100]"
19.554411920385878,102.98314989970342,39442.64277559521,22.45728569948007,504.7073594576014,22.45728569948007,det1,0.16992559630962817,5.8213049759896105,0.6254809790634521,2.063916478788799,5.601138070495322,0.22009241905012494,613,"(0, 100]"
152.26343204690676,261.80593984251965,195454.85073586318,408.69369501910376,63.59543721395564,63.59543721395564,det2,0.11335612211985742,23.589072747371553,13.449043826813337,13.836225260149828,10.14498860632464,0.21144852604885322,434,"(0, 100]"
131.17207902420387,141.5236036759912,2618.809287856801,34.10088354345986,513.6002207970853,34.10088354345986,det1,0.11475659018965083,1.5351494870588291,6.47273211652735,3.499174816087307,6.587028365107003,0.15892417499087555,127,"(0, 100]"
20.20951376368731,168.30350367631564,3148.2766286857322,448.0332047938661,56.154419815292094,56.154419815292094,det2,0.07931680438648708,12.511856322162306,14.264367243096407,15.909275003368556,18.016061190974842,0.17689216778390002,28,"(0, 100]"
31.217767548967675,248.2096892703428,1587.526477635009,29.685611925375248,475.8605186879448,29.685611925375248,det1,0.1969885856818441,5.883730812512802,0.7262069275023769,0.9541964292802386,5.555094624928594,0.23462032300694302,168,"(0, 100]"
40.92362603796464,61.1330380857037,1905.5939099290465,28.559999718494357,369.96706736765077,28.559999718494357,det1,0.19356831785651255,4.433041002124099,1.1937182720763024,1.8223929997417843,5.598496623829505,0.23318411253078403,253,"(0, 100]"
21.98939591991003,292.45199089753476,5946.912549009642,434.6143104561529,71.81279958407941,71.81279958407941,det2,0.0881836114218118,39.8380210812782,14.653813722219228,4.98170973879377,25.236297707515323,0.10305516905596303,82,"(0, 100]"
154.500864838793,283.7981174148878,165598.8932715846,442.96184727360037,52.813174909604776,52.813174909604776,det2,0.18965895134843402,2.4633266655723607,5.743010051644045,3.9094450547703565,3.3014900483262672,0.25607599173983153,417,"(0, 100]"
44.4081200748937,221.23082647295044,2315.7392598407278,290.24476206519023,74.45838646960537,74.45838646960537,det2,0.05483088149859379,111.77346162079505,112.149123314713,103.75452811241071,4.449578732133651,0.04989121614530187,24,"(0, 100]"
147.39055574075243,95.39958866976922,7662.75296068301,40.819100109261534,507.3551325696576,40.819100109261534,det1,0.12484132997082219,2.9027334819647854,7.134669470387938,7.967683239934642,5.354986729440877,0.17806123034306984,254,"(0, 100]"
147.63171357018348,289.4220353025404,16380.13974747931,473.1366965976082,24.82251863270006,24.82251863270006,det2,0.24244955092481207,2.151490138674396,2.239846941473581,1.865118920552297,2.1428884515279205,0.2801090014998084,155,"(0, 100]"
41.416613087218835,327.07031174086904,1773.9324341948466,478.6645147956413,39.41887079841478,39.41887079841478,det2,0.07547512363051954,12.589648532844024,2.211588669848804,1.1526546894914034,12.413634502846683,0.11369388268929137,45,"(0, 100]"
