std_err,pivot_err
171.88393197083383,22.66756814660466
75.1870848114184,144.44692319481425
179.12144322117786,179.12144322117786
65.12176211572017,38.42386132116582
178.2961960605675,178.2961960605675
61.50256862013341,72.66706131236552
178.3644800824994,178.3644800824994
133.76396685294793,133.76396685294793
156.91279757238738,93.99387924131526
,
172.0442464852145,175.1069208071863
174.6196863329428,174.6196863329428
113.0511257289427,107.28097800776382
74.86562838539835,31.66046234587147
12.841620102806493,12.841620102806493
55.446371628800975,59.67394332203188
,69.0332230957151
100.12764968106136,93.69938061882863
,
176.81110279929223,176.81110279929223
,34.04203192498846
,66.91161141635595
,
113.74604773174612,113.74604773174612
14.92322252652507,12.423821572427682
126.1467399804546,127.48471553792777
105.05503697771802,105.05503697771802
61.29285337637908,63.42755930197453
176.66184653234205,176.66184653234205
,
177.54408675840466,177.54408675840466
40.88024220950759,40.88024220950759
106.45382657566647,106.45382657566647
138.86377786473147,139.5359912478662
86.10845385828384,71.5519139301016
128.99411607881018,58.39513136778783
154.24121803258737,154.24121803258737
145.6861803046354,130.48996420543736
49.58103704086812,49.44213015725823
145.08152264591595,94.46803480762264
34.598859099187564,61.88005482981593
76.13775702269417,76.13775702269417
176.9280684246144,176.66906209677103
93.6444918131537,75.41504374757999
108.94867445720404,95.24787578669121
172.88745652506833,174.41572678597643
59.94557320779112,56.586376285012115
,
73.28557128923623,22.63851821973449
104.52176351353106,104.52176351353106
91.66268411641023,93.95935519042179
173.5176334657165,173.5176334657165
178.92083552860382,178.9556897837903
51.848561032489506,51.848561032489506
66.73989682043357,61.5395022847492
152.55271515961502,30.00048052544771
73.3670475878933,73.3670475878933
111.35904604272302,111.35904604272302
26.162438907845882,31.646148452072193
176.4592689235576,144.87887755559387
13.253032915875142,13.253032915875142
99.47131559042508,16.962030398435868
168.0966678392515,79.77616388506982
81.80502475344215,89.01658471622862
155.93462017588303,155.93462017588303
133.375669543827,49.04889961346752
21.22543914205147,81.21311653366291
173.57901490179387,61.82625831250271
29.80367219367478,29.80367219367478
,
49.7430064080992,54.313727217448516
60.65420261778727,71.83658900396387
162.4336764744637,169.52611329001797
84.50908288003917,84.49346717262941
108.52018646781114,29.46563740279323
128.254459516388,59.875129882241076
161.17229292381086,159.08840970915844
121.2113385793477,74.74465098383331
89.23628978168581,68.42954344040507
42.572185371668155,21.973758429750877
84.38370672518188,68.04677403921606
102.26465996995235,57.391363405623416
109.5009705090991,108.51105274146545
141.26583587075734,88.71090001751003
137.32901721471052,114.55789941366903
31.50541710435893,31.50541710435893
55.381436557743974,24.819784640086898
108.6921346386531,104.88385997650325
92.99264102447297,52.68982168018626
38.1513004285179,38.1513004285179
112.93675142730828,112.93675142730828
87.86976305208871,38.29856212582185
77.30013853903216,91.26929748238732
168.9955987388535,54.86063119681693
95.33054760177282,66.01691838284609
112.2893262382247,56.728255330872166
121.32713423117868,122.929583566019
160.0698738635251,53.821959736046644
149.18374332474036,36.060709247464395
156.45090224277843,139.40704934749365
