ev_idx,n_photons,n_ic_doms,n_dm_hits,dm_hit_source,mc_zenith_deg,mc_azimuth_deg,mc_energy_GeV,ic_ang_err_deg,ic_speed_m_ns,pivot_ang_err_deg,pivot_iter_ang_err_deg,pivot_speed_m_ns
4,154,54,0,mc_truth,165.0296982091297,-57.21284210582157,565.4361263132577,179.07182577384194,0.20572406548018818,32.92453033825614,38.67135470465923,0.18824070107236282
13,122,45,0,mc_truth,144.69768418226673,-68.68697400728625,105.17295707226619,48.931782015843794,0.04345318239572111,17.129969543912953,17.678479126999406,0.30143229225033824
17,1202,38,0,mc_truth,118.81496192878002,120.09084464390412,54.73184554994245,66.0636030222924,0.049058089875742006,57.186707460049576,57.66975177969601,0.43954062735775823
26,100,17,0,mc_truth,163.7817067463568,65.45448092061459,17.877336007237492,148.99014319124112,0.07513373707073234,35.73573446967782,38.24560607990528,0.30970752785111333
56,180,109,1,simulated,140.48433093688504,-86.24519564270773,624.6612816472544,29.754694504598415,0.032908219544620275,35.580102248095756,31.763541311879152,0.10724960877623586
61,106,5,0,mc_truth,139.06977970592624,-95.55401392936015,99.37307249240389,96.73135016531509,0.20623985581733498,14.549790387622448,14.35122061932043,0.30819563726658594
98,151,13,0,mc_truth,119.4062816354688,137.749853624674,169.82923685010712,100.45049735975245,0.08227866981939133,34.06930909003648,35.770930450373584,0.3119836092725097
