mc_zenith_deg,mc_azimuth_deg,mc_energy_GeV,mc_ca_det1_m,mc_ca_det2_m,mc_ca_min_m,closest_det,std_reco_key,std_zenith_deg,std_azimuth_deg,std_speed_m_ns,ic_only_ang_err_deg,ic_analytic_ang_err_deg,cfit_ang_err_deg,cfit_iter_ang_err_deg,cfit_ang_diff_deg,cfit_speed_m_ns,n_doms,ca_bin,run
138.30153185456078,2.4600084090982666,2054.227123352049,1.399606873320082e-13,439.892673931553,1.399606873320082e-13,det1,computed_linefit,46.4061988319778,186.20866971065087,0.2420173021625686,174.62047927141296,174.62047927141296,103.97138999758478,26.74400011062499,71.0812553244309,0.0290321143568281,60,"(0, 100]",2000
147.10160228795243,-128.16341810010013,5542.938693634224,5.178681919428697e-13,427.753924140006,5.178681919428697e-13,det1,computed_linefit,35.0893354219745,50.952378339188606,0.2066275919580097,177.7540320294368,177.7540320294368,19.940554277722438,14.715300033242237,157.82871638724103,0.0418587291174073,199,"(0, 100]",2000
145.85666978518574,-111.03330569744992,1826.2926429375807,4.059432074281432e-13,437.0173597224709,4.059432074281432e-13,det1,computed_linefit,35.61614231576303,69.98898724368941,0.2394596889219387,178.4154507404235,178.4154507404235,176.5153013154833,41.18784747907627,1.9277530127951104,0.1938167026830749,292,"(0, 100]",2000
135.06872154751014,-19.193535536922205,3696.104719446777,4.582862941503293e-13,480.8619751184386,4.582862941503293e-13,det1,computed_linefit,48.13432821376899,163.15089887273888,0.230485718227307,176.37347171335605,176.37347171335605,173.94822186675154,143.5813456623742,2.5169457529725947,0.1951906959767803,123,"(0, 100]",2000
143.42688701929106,-100.076150993789,1690.262149507689,4.1088788676691373e-13,444.7188204696783,4.1088788676691373e-13,det1,computed_linefit,55.559419556093474,83.22829515837503,0.0594717510380778,160.8703273029093,160.8703273029093,,,,,287,"(0, 100]",2000
158.19786063155956,-80.48037503415038,2846.9466013585456,4.531903732385551e-13,496.2406327308821,4.531903732385551e-13,det1,computed_linefit,25.46417491598933,101.31233762905865,0.2206220625459328,176.26851078167843,176.26851078167843,158.20998574396643,45.16241359765485,18.08223988440986,0.0552984121301777,119,"(0, 100]",2000
154.2962462360281,-43.1858128991304,3789.226355004567,1.392373714442771e-13,507.41333722230223,1.392373714442771e-13,det1,computed_linefit,27.951047321527582,138.69213286385963,0.2511795825480669,177.59845807281943,177.59845807281943,118.93590221241828,17.240023119594472,58.69475441331836,0.0239961393261065,179,"(0, 100]",2000
167.83016946078146,17.919188265081168,1800.6943961524455,1.8198773652309369e-13,498.3712926639182,1.8198773652309369e-13,det1,computed_linefit,14.601240043290234,198.49339208646757,0.2441423839928754,177.5649888834226,177.5649888834226,119.25512881312892,13.38085712435588,58.33464329179503,0.0174264701312759,79,"(0, 100]",2000
157.58447769010593,-91.85398953791828,6918.713026284391,2.206117911819664e-13,488.2173765859674,2.206117911819664e-13,det1,computed_linefit,24.10987568351379,90.14240220791184,0.232245648952062,178.13139508852527,178.13139508852527,14.683722500381744,13.2058052724007,163.4671234579927,0.0504612285627844,164,"(0, 100]",2000
151.11864038967852,14.957880680400107,3355.805915824378,6.355287432313019e-14,460.00324506468775,6.355287432313019e-14,det1,computed_linefit,31.04973562041349,199.3221083637944,0.2562366075456914,176.92654082397058,176.92654082397058,169.23651717221205,64.74845908236169,8.022456514650452,0.1167804653008847,117,"(0, 100]",2000
